Country (or dependent territory),2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
Afghanistan,,,18768.0,20806.0,21522.0,24842.0,26978.0,31390.0,33242.0,40390.0
Albania,12857.0,14241.0,15116.0,16269.0,17639.0,19212.0,20971.0,22818.0,25010.0,26045.0
Algeria,251580.0,265033.0,284171.0,310706.0,332978.0,363968.0,381471.0,404831.0,422514.0,432672.0
Angola,37442.0,39906.0,46056.0,49439.0,56326.0,68755.0,85562.0,107684.0,124967.0,128954.0
Antigua and Barbuda,1305.0,1247.0,1271.0,1374.0,1463.0,1623.0,1875.0,2055.0,2128.0,1914.0
Argentina,437650.0,427890.0,387126.0,429738.0,481426.0,540900.0,602385.0,674119.0,715230.0,678009.0
Armenia,7002.0,7840.0,9139.0,10630.0,12067.0,14213.0,16583.0,19365.0,21117.0,18266.0
Australia,551281.0,577788.0,610364.0,640968.0,685398.0,729843.0,772656.0,828699.0,867008.0,888797.0
Austria,246866.0,255902.0,264133.0,271437.0,286447.0,301992.0,321702.0,342223.0,354335.0,343462.0
Azerbaijan,29683.0,32329.0,35496.0,39997.0,45289.0,59087.0,81914.0,105117.0,118754.0,130784.0
Bahamas,7790.0,8176.0,8526.0,8586.0,8900.0,9499.0,10037.0,10453.0,10411.0,10052.0
Bahrain,23675.0,24818.0,26043.0,28235.0,31036.0,34203.0,37534.0,41729.0,45203.0,46704.0
Bangladesh,180210.0,193226.0,205698.0,221918.0,241948.0,265471.0,292374.0,319719.0,343971.0,365003.0
Barbados,3089.0,3084.0,3156.0,3289.0,3427.0,3678.0,4005.0,4185.0,4284.0,4142.0
Belarus,59898.0,64153.0,68429.0,74690.0,85520.0,96611.0,109542.0,122174.0,137319.0,138594.0
Belgium,300156.0,309488.0,319835.0,328738.0,350056.0,368885.0,389723.0,413687.0,424953.0,418396.0
Belize,1363.0,1464.0,1563.0,1742.0,1874.0,1984.0,2138.0,2220.0,2336.0,2373.0
Benin,9069.0,9771.0,10381.0,10953.0,11752.0,12339.0,13219.0,14383.0,15384.0,15861.0
Bhutan,1505.0,1647.0,1832.0,2039.0,2236.0,2459.0,2711.0,3133.0,3538.0,3769.0
Bolivia,29166.0,30333.0,31564.0,33066.0,35393.0,38147.0,41205.0,44233.0,47873.0,49856.0
Bosnia and Herzegovina,19440.0,20352.0,21709.0,22996.0,25107.0,27012.0,29427.0,32016.0,34470.0,34449.0
Botswana,13907.0,14259.0,15357.0,16388.0,17294.0,18664.0,20847.0,23173.0,25103.0,23358.0
Brazil,1579824.0,1638286.0,1714227.0,1768357.0,1921642.0,2046980.0,2193469.0,2388520.0,2559440.0,2575631.0
Brunei,21686.0,22789.0,24035.0,25226.0,26050.0,26993.0,29050.0,29858.0,29842.0,29521.0
Bulgaria,60747.0,64474.0,69351.0,74381.0,81344.0,89942.0,99079.0,109186.0,118032.0,114663.0
Burkina Faso,9894.0,10789.0,11431.0,12570.0,13494.0,15135.0,16575.0,17715.0,19110.0,19826.0
Burundi,3501.0,3640.0,3783.0,3954.0,4216.0,4542.0,4935.0,5241.0,5603.0,5861.0
Cape Verde,1367.0,1484.0,1586.0,1739.0,1875.0,2048.0,2303.0,2582.0,2808.0,2793.0
Cambodia,13254.0,14660.0,15865.0,17557.0,19906.0,23268.0,26567.0,30059.0,32700.0,33644.0
Cameroon,30348.0,32441.0,34260.0,36351.0,38734.0,40898.0,43513.0,46126.0,48387.0,49697.0
Canada,910945.0,948204.0,991740.0,1029745.0,1090714.0,1161847.0,1228964.0,1287691.0,1326085.0,1296744.0
Central African Republic,2687.0,2759.0,2809.0,2669.0,2815.0,2977.0,3215.0,3453.0,3593.0,3682.0
Chad,7121.0,8133.0,8959.0,10483.0,14393.0,16091.0,16693.0,17697.0,18597.0,19514.0
Chile,173096.0,182906.0,191475.0,203310.0,223901.0,244387.0,267871.0,288570.0,304542.0,302085.0
China,3698622.0,4096897.0,4538333.0,5091708.0,5760129.0,6617286.0,7686835.0,9011953.0,10070854.0,11080887.0
Colombia,266073.0,276703.0,287986.0,305238.0,330357.0,357035.0,392653.0,430917.0,454954.0,465980.0
Comoros,659.0,697.0,737.0,770.0,789.0,849.0,886.0,914.0,941.0,966.0
Democratic Republic of the Congo,20342.0,20369.0,21291.0,22927.0,25145.0,27546.0,29903.0,32619.0,35331.0,36616.0
Republic of the Congo,11716.0,12439.0,13209.0,13582.0,14440.0,16061.0,17587.0,17769.0,19127.0,20784.0
Costa Rica,30735.0,32533.0,34120.0,36281.0,38896.0,41701.0,46093.0,51185.0,54615.0,54496.0
Ivory Coast,39351.0,40296.0,40233.0,40477.0,42102.0,44205.0,46254.0,48323.0,50524.0,52562.0
Croatia,54517.0,57675.0,61633.0,66356.0,70964.0,76297.0,82405.0,88954.0,92562.0,86378.0
Cyprus,17185.0,18210.0,19118.0,19982.0,21470.0,22986.0,24761.0,26645.0,28217.0,27928.0
Czech Republic,170247.0,179441.0,185196.0,195692.0,211022.0,231843.0,255400.0,276693.0,289769.0,277833.0
Denmark,173997.0,179426.0,183032.0,187407.0,197698.0,208836.0,223674.0,231709.0,235048.0,225215.0
Djibouti,1222.0,1272.0,1333.0,1403.0,1482.0,1577.0,1704.0,1837.0,1982.0,2029.0
Dominica,454.0,464.0,458.0,497.0,526.0,547.0,590.0,644.0,703.0,700.0
Dominican Republic,54208.0,56437.0,60615.0,61665.0,64187.0,72369.0,82544.0,91921.0,96732.0,98389.0
Ecuador,73948.0,78671.0,83151.0,87118.0,96864.0,105271.0,113283.0,118845.0,128879.0,130594.0
Egypt,427230.0,452366.0,473942.0,498829.0,533521.0,575311.0,633572.0,696532.0,761019.0,802635.0
