,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,18768.0,20806.0,21522.0,24842.0,26978.0,31390.0,33242.0,40390.0,46304.0,50334.0,59945.0,63784.0,69444.0,72056.0,70098.0,74712.0,77416.0,81880.0
Albania,5547.0,6410.0,7005.0,7362.0,7776.0,7904.0,8515.0,8662.0,8840.0,10084.0,9411.0,7002.0,6646.0,7457.0,8332.0,9262.0,10290.0,9322.0,10256.0,11755.0,12857.0,14241.0,15116.0,16269.0,17639.0,19212.0,20971.0,22818.0,25010.0,26045.0,28328.0,29655.0,30530.0,30604.0,32529.0,33595.0,34736.0,37609.0,40080.0,41709.0
Algeria,86255.0,97138.0,109768.0,120263.0,131504.0,143312.0,145909.0,148586.0,150865.0,164255.0,171693.0,175279.0,182143.0,182555.0,184763.0,195874.0,207028.0,212889.0,226168.0,236978.0,251580.0,265033.0,284171.0,310706.0,332978.0,363968.0,381471.0,404831.0,422514.0,432672.0,471508.0,494947.0,497330.0,497988.0,506135.0,477358.0,471382.0,478071.0,496403.0,509307.0
Angola,14949.0,15626.0,16595.0,17975.0,19729.0,21073.0,22122.0,23613.0,25937.0,26957.0,26989.0,28164.0,27125.0,21110.0,21848.0,25649.0,29654.0,32356.0,34242.0,35524.0,37442.0,39906.0,46056.0,49439.0,56326.0,68755.0,85562.0,107684.0,124967.0,128954.0,153871.0,162539.0,186124.0,199866.0,220365.0,204604.0,204875.0,217987.0,220542.0,222459.0
Antigua and Barbuda,276.0,312.0,328.0,363.0,415.0,460.0,508.0,558.0,609.0,671.0,715.0,758.0,783.0,846.0,919.0,891.0,962.0,1038.0,1103.0,1170.0,1305.0,1247.0,1271.0,1374.0,1463.0,1623.0,1875.0,2055.0,2128.0,1914.0,1814.0,1816.0,1772.0,1720.0,1762.0,1770.0,1883.0,1893.0,2073.0,2181.0
Argentina,176595.0,181994.0,187200.0,201854.0,213199.0,204727.0,223778.0,235293.0,238765.0,230669.0,236001.0,269456.0,303984.0,330670.0,357417.0,354490.0,380909.0,418855.0,439702.0,431317.0,437650.0,427890.0,387126.0,429738.0,481426.0,540900.0,602385.0,674119.0,715230.0,678009.0,736718.0,797264.0,819698.0,849616.0,839897.0,867177.0,885228.0,1039331.0,1036982.0,1033456.0
Armenia,,,,,,,,,,,,,4886.0,4299.0,4628.0,5104.0,5466.0,5748.0,6174.0,6468.0,7002.0,7840.0,9139.0,10630.0,12067.0,14213.0,16583.0,19365.0,21117.0,18266.0,21598.0,23086.0,27009.0,28500.0,29231.0,29167.0,31429.0,35677.0,38442.0,42095.0
Australia,154527.0,175929.0,186961.0,193421.0,212996.0,231806.0,242268.0,260608.0,281203.0,305637.0,321669.0,328912.0,345355.0,367558.0,393827.0,413784.0,439492.0,466276.0,493321.0,522314.0,551281.0,577788.0,610364.0,640968.0,685398.0,729843.0,772656.0,828699.0,867008.0,888797.0,924359.0,970489.0,983738.0,1083486.0,1111526.0,1113043.0,1174424.0,1233602.0,1298174.0,1345676.0
Austria,84466.0,92261.0,99855.0,106708.0,110861.0,116975.0,122127.0,127349.0,133073.0,143621.0,155405.0,166105.0,173448.0,178510.0,186689.0,195667.0,204016.0,212085.0,222018.0,233508.0,246866.0,255902.0,264133.0,271437.0,286447.0,301992.0,321702.0,342223.0,354335.0,343462.0,355022.0,373031.0,391635.0,406370.0,417060.0,431092.0,459839.0,480673.0,504124.0,521336.0
Azerbaijan,,,,,,,,,,,,,33999.0,26768.0,21960.0,19497.0,20355.0,22543.0,24157.0,27321.0,29683.0,32329.0,35496.0,39997.0,45289.0,59087.0,81914.0,105117.0,118754.0,130784.0,135151.0,135804.0,148340.0,161865.0,166329.0,144146.0,140230.0,139153.0,144632.0,150480.0
Bahamas,2511.0,2666.0,3010.0,3341.0,3543.0,3806.0,3984.0,4237.0,4484.0,4765.0,4994.0,4944.0,4863.0,4994.0,5261.0,5606.0,5950.0,6351.0,6722.0,7313.0,7790.0,8176.0,8526.0,8586.0,8900.0,9499.0,10037.0,10453.0,10411.0,10052.0,10911.0,11207.0,11713.0,11703.0,12288.0,12507.0,12908.0,13857.0,14619.0,15061.0
Bahrain,6199.0,6967.0,7873.0,8756.0,9446.0,9658.0,9900.0,10029.0,10998.0,11541.0,12387.0,13092.0,14344.0,15802.0,16657.0,17331.0,18221.0,18968.0,20104.0,21631.0,23675.0,24818.0,26043.0,28235.0,31036.0,34203.0,37534.0,41729.0,45203.0,46704.0,58163.0,60556.0,65875.0,67717.0,68276.0,62523.0,63831.0,71282.0,74292.0,76994.0
Bangladesh,42099.0,47445.0,52005.0,56549.0,61002.0,65312.0,69284.0,73135.0,77502.0,83977.0,91091.0,98080.0,105132.0,112287.0,119852.0,128188.0,137071.0,146813.0,155892.0,166858.0,180210.0,193226.0,205698.0,221918.0,241948.0,265471.0,292374.0,319719.0,343971.0,365003.0,387229.0,420989.0,473808.0,509208.0,553757.0,595349.0,650672.0,710584.0,785956.0,869044.0
