,AAPL,MSFT,AMZN,GOOG,FB,TSLA,BRK.A,V,JNJ,WMT,JPM,MA,PG,UNH,DIS,NVDA,HD,PYPL,BAC,VZ,ADBE,CMCSA,NFLX,KO,NKE,MRK,PEP,T,PFE,INTC,CRM,ABT,ORCL,ABBV,CSCO,TMO,AVGO,XOM,ACN,QCOM,COST,CVX,LLY,MCD,DHR,MDT,NEE,TXN,HON,UPS
2020-09-30,1.36,2.53,1.11,3.41,5.51,1.64,0.27,1.91,1.48,,0.88,1.86,0.87,0.82,1.32,,,1.38,0.87,1.07,,0.93,1.24,1.13,,1.3,0.93,0.84,1.4,1.66,,1.7,,0.95,,2.93,,0.86,,2.14,,1.26,1.36,1.07,2.08,,0.57,4.24,1.64,1.29
2020-06-30,1.47,2.52,1.18,3.41,6.03,1.25,0.3,1.55,1.25,,0.88,1.95,0.85,0.84,1.34,,,1.38,0.93,0.96,,0.97,1.12,1.09,,1.32,0.97,0.81,1.42,1.98,,1.57,,0.86,,2.62,,0.93,,1.97,,1.14,1.22,0.91,2.2,,0.61,3.92,1.63,1.24
2020-03-31,1.5,2.9,1.08,3.66,4.6,1.24,0.33,1.25,1.31,,0.89,1.87,0.83,0.75,0.94,,,1.39,0.92,0.99,,0.87,0.82,0.87,,1.12,1.1,0.76,1.03,1.74,,1.43,,3.14,,2.32,,0.78,,1.57,,1.01,1.11,1.9,1.32,,0.71,3.49,1.3,1.22
2019-12-31,1.6,2.8,1.1,3.37,4.4,1.14,0.39,1.27,1.26,,0.92,1.42,0.63,0.69,0.8,,,1.43,0.91,0.84,,0.84,0.9,0.76,,1.24,0.86,0.8,0.88,1.4,,1.44,,3.18,,1.92,,0.78,,1.76,,1.07,1.16,0.98,5.19,,0.54,4.13,1.34,1.11
2019-09-30,1.54,2.85,1.1,3.78,4.66,1.08,0.44,1.56,1.26,,0.93,1.39,0.73,0.7,0.9,,,1.43,0.92,0.89,,0.86,0.73,0.92,,1.26,0.95,0.74,0.91,1.2,,1.54,,1.15,,1.8,,0.78,,1.88,,1.12,1.17,0.84,3.43,,0.58,4.34,1.32,1.11
2019-06-30,1.51,2.53,1.1,3.99,4.47,1.06,0.34,1.69,1.33,,0.97,1.49,0.75,0.67,0.7,,,1.22,0.92,0.87,,0.69,0.85,0.83,,1.21,0.86,0.71,1.47,1.48,,1.68,,0.89,,1.5,,0.74,,1.77,,1.15,1.14,1.21,2.32,,0.52,3.01,1.2,1.09
2019-03-31,1.32,2.97,1.09,3.96,5.38,0.83,0.28,1.63,1.44,,1.0,1.41,0.79,0.73,0.77,,,1.22,0.92,0.87,,0.73,0.61,1.02,,1.37,0.94,0.72,1.54,1.54,,1.58,,1.04,,1.69,,0.77,,1.55,,1.12,1.12,1.47,2.18,,0.46,3.68,1.24,1.13
2018-12-31,1.3,3.12,1.1,3.92,7.19,0.83,0.29,1.5,1.47,,1.0,1.4,0.78,0.73,1.0,,,1.27,0.92,0.91,,0.79,1.49,0.87,,1.17,0.99,0.8,1.57,1.73,,1.62,,0.98,,1.73,,0.84,,1.54,,1.25,1.73,1.36,1.47,,0.36,3.27,1.29,1.15
2018-09-30,1.13,2.92,1.08,4.14,9.0,0.81,0.31,1.61,1.72,,1.01,1.55,0.8,0.69,0.94,,,1.28,0.91,0.97,,1.18,1.39,1.06,,1.44,1.31,0.81,1.43,1.51,,1.42,,1.2,,1.84,,0.83,,1.53,,1.22,1.91,1.53,1.53,,0.65,3.98,1.49,1.15
2018-06-30,1.31,2.9,1.07,4.15,10.67,0.73,0.4,1.69,1.65,,1.01,1.51,0.83,0.75,0.88,,,1.38,0.91,0.96,,0.96,1.54,1.15,,1.33,1.24,0.81,1.16,1.57,,1.58,,0.8,,1.58,,0.81,,2.73,,1.08,1.4,1.47,1.5,,0.58,6.54,1.38,1.21
2018-03-31,1.46,3.4,1.06,4.87,9.91,0.74,0.37,1.94,1.58,,1.01,1.64,0.91,0.72,0.85,,,1.35,0.92,0.98,,0.98,1.3,1.21,,1.42,1.28,1.11,1.27,1.59,,1.66,,1.2,,1.36,,0.8,,3.6,,1.04,1.41,1.74,1.59,,0.59,4.62,1.36,1.22
2017-12-31,1.24,2.89,1.04,5.14,12.92,0.86,0.28,2.07,1.41,,1.02,1.57,0.94,0.74,0.87,,,1.43,0.91,0.91,,0.74,1.4,1.34,,1.33,1.51,0.97,1.35,1.69,,2.26,,1.28,,1.34,,0.82,,3.41,,1.03,1.32,1.84,1.43,,0.64,3.87,1.38,1.22
2017-09-30,1.28,3.12,1.03,5.77,13.38,1.09,0.32,1.9,1.32,,1.04,1.66,0.91,0.7,0.81,,,1.42,0.91,1.07,,0.74,1.2,1.39,,1.43,1.35,1.6,1.43,1.6,,2.69,,1.45,,1.26,,0.85,,4.0,,1.04,1.38,1.28,1.43,,0.61,3.89,1.35,1.06
2017-06-30,1.39,2.92,1.01,6.02,12.31,0.97,0.27,1.65,1.34,,1.04,1.65,0.88,0.72,1.0,,,1.45,0.91,1.04,,0.67,1.31,1.35,,1.5,1.32,1.12,1.34,2.16,,2.94,,1.38,,1.47,,0.83,,2.95,,0.95,1.39,2.15,1.49,,0.66,4.0,1.34,1.12
2017-03-31,1.39,2.81,1.06,7.13,12.61,1.13,0.26,1.52,2.52,,1.03,1.82,0.89,0.71,0.94,,,1.47,0.91,1.02,,0.8,1.15,1.41,,1.59,1.25,0.9,1.44,1.69,,2.91,,1.76,,1.37,,0.81,,1.67,,1.04,1.24,1.83,1.05,,0.6,4.4,1.37,1.01
2016-12-31,1.23,2.05,1.05,6.29,11.97,1.07,0.28,1.42,2.47,,1.01,1.84,0.89,0.69,0.86,,,1.53,0.9,0.87,,0.76,1.25,1.28,,1.78,1.25,0.76,1.25,1.75,,4.02,,1.66,,1.44,,0.87,,1.97,,0.93,1.38,1.4,0.97,,0.68,3.29,1.41,1.18
2016-09-30,1.35,2.69,1.06,6.88,11.69,1.27,0.52,1.78,2.73,,1.04,1.65,1.09,0.7,1.01,,,1.55,0.92,0.85,,0.84,1.18,1.37,,1.89,1.32,0.79,1.11,1.8,,1.56,,1.79,,1.56,,0.86,,3.14,,1.17,1.62,0.96,1.36,,0.65,3.31,1.2,1.18
2016-06-30,1.31,2.35,1.09,5.43,12.22,1.38,0.47,1.85,3.08,,1.03,1.7,1.1,0.7,0.98,,,1.54,0.93,0.61,,0.84,1.33,1.21,,1.87,1.4,0.78,1.37,1.67,,1.5,,1.81,,1.15,,0.89,,3.07,,1.3,1.55,1.89,1.4,,0.57,3.36,1.28,1.32
2016-03-31,1.28,2.9,1.08,5.14,13.16,1.02,0.41,4.74,2.83,,1.02,1.65,1.09,0.73,1.0,,,1.53,0.93,0.71,,0.8,1.41,1.18,,1.64,1.42,0.85,1.44,1.56,,1.48,,1.56,,1.03,,0.91,,2.87,,1.09,1.6,1.77,1.46,,0.67,2.75,1.25,1.25
2015-12-31,1.0,3.0,1.05,4.67,11.25,0.99,0.48,4.76,2.17,,1.02,1.75,1.13,0.74,0.95,,,1.52,0.92,0.64,,0.68,1.54,1.24,,1.55,1.31,0.75,1.49,2.45,,1.54,,1.5,,1.39,,0.79,,3.13,,1.35,1.53,3.27,1.27,,0.67,2.77,1.09,1.24
