,AAPL,MSFT,AMZN,GOOG,FB,TSLA,BRK.A,V,JNJ,WMT,JPM,MA,PG,UNH,DIS,NVDA,HD,PYPL,BAC,VZ,ADBE,CMCSA,NFLX,KO,NKE,MRK,PEP,T,PFE,INTC,CRM,ABT,ORCL,ABBV,CSCO,TMO,AVGO,XOM,ACN,QCOM,COST,CVX,LLY,MCD,DHR,MDT,NEE,TXN,HON,UPS
2005,2275.0,15793.0,529.0,1621.21,,,7251.0,361.36,9321.0,3166.0,-30236.0,190.85,7015.0,3574.0,2326.0,64.94,2780.0,,-13451.0,7061.0,709.51,1214.0,129.85,5612.0,1320.8,6205.8,4204.0,7398.0,12627.0,8980.0,51.56,3839.91,3364.0,,6876.0,243.5,,34299.0,1575.63,2110.0,799.96,11404.0,626.6,2730.0,1102.85,2372.0,-930.0,2362.0,1829.0,3633.0
2006,1563.0,12826.0,486.0,1677.71,,,5624.0,348.0,12093.0,4753.0,-49579.0,555.69,9590.0,5850.0,4668.0,366.81,2903.0,,13761.0,7005.0,816.7,2223.0,220.86,5190.0,1335.8,5785.0,4065.0,7368.0,15544.0,4772.0,72.46,3924.27,4445.0,,7127.0,334.7,,33824.0,2375.77,2568.0,630.46,10510.0,2963.3,2599.6,1420.83,1813.0,-1221.0,4184.0,2565.0,2579.0
2007,4735.0,15532.0,1181.0,3372.57,,,7177.0,345.0,12537.0,4963.0,-110560.0,613.44,10746.0,5006.0,3832.0,441.86,4257.0,,8893.0,9301.0,1308.98,2031.0,233.17,5741.0,1593.5,5988.2,4551.0,16525.0,11473.0,7625.0,89.1,3527.64,5203.0,,8853.0,1327.2,109.0,36615.0,2280.74,2993.0,715.0,8299.0,4104.4,2929.7,1499.24,2406.0,-726.0,3782.0,3242.0,-1612.0
2008,8505.0,18430.0,1364.0,5494.0,,-63.04,5114.0,120.0,12691.0,6662.0,52780.0,242.0,12890.0,3632.0,4123.0,1082.45,2487.0,,1936.0,10319.0,1168.89,4481.0,240.25,5732.0,1489.0,5274.0,4651.0,13979.0,16537.0,5729.0,160.72,5706.9,7312.0,,10821.0,1171.2,148.0,40407.0,2493.72,2161.0,655.0,9966.0,6374.1,3781.5,1666.33,2976.0,-1833.0,2567.0,2960.0,5937.0
2009,9015.0,15918.0,2920.0,8506.0,122.0,-92.71,10909.0,252.0,14360.0,12362.0,122797.0,1238.0,12768.0,4886.0,3566.0,-158.31,3828.0,,127491.0,14518.0,998.2,5164.0,279.13,6297.0,1313.0,1931.0,4726.0,17851.0,15382.0,6655.0,168.5,6186.11,7726.0,5054.77,8892.0,1472.6,82.0,5947.0,2921.41,6411.0,849.0,-470.0,3588.2,3798.9,1630.41,3380.0,-1543.0,1890.0,3368.0,3743.0
2010,16590.0,22096.0,2516.0,7063.0,405.0,-168.02,11915.0,2453.0,14525.0,15067.0,-3752.0,1546.0,16132.0,5395.0,4468.0,410.21,4337.0,,81554.0,16905.0,975.5,6218.0,242.56,7451.0,2839.0,9144.0,5276.0,15692.0,9941.0,11485.0,221.41,7720.91,8451.0,4528.0,9165.0,1262.6,433.0,21542.0,2857.2,3650.0,1729.0,11742.0,6187.1,4206.1,1894.9,3558.0,-2012.0,2769.0,3566.0,2750.0
2011,33269.0,24639.0,2092.0,11127.0,943.0,-312.26,12285.0,3519.0,12747.0,11433.0,95932.0,2507.0,10249.0,5950.0,3435.0,577.91,3573.0,,63141.0,13536.0,1333.02,9038.0,268.03,6655.0,1381.0,10660.0,5689.0,14633.0,18580.0,10199.0,368.19,7479.0,10869.0,5891.0,8905.0,1438.3,614.0,24370.0,3044.78,4307.0,1908.0,14595.0,6587.8,4420.3,2291.8,3240.0,-1350.0,2456.0,2041.0,5095.0
2012,42561.0,29321.0,395.0,13346.0,377.0,-503.04,11175.0,4635.0,13971.0,11325.0,25079.0,2730.0,12213.0,6085.0,4182.0,770.42,5486.0,1054.0,-16051.0,15311.0,1228.5,9140.0,-18.69,8008.0,1263.0,8068.0,5860.0,19711.0,15419.0,7857.0,439.86,7519.0,13095.0,6012.0,10415.0,1737.2,452.0,21899.0,3890.86,4714.0,1577.0,7874.0,4421.4,3916.9,2956.7,3986.0,-5469.0,2919.0,2638.0,5158.0
2013,45501.0,24576.0,2031.0,11301.0,2860.0,0.58,16617.0,2551.0,14277.0,13225.0,107953.0,3836.0,11449.0,5684.0,6656.0,640.86,5713.0,1602.0,92817.0,22214.0,987.59,5660.0,43.69,8103.0,2448.0,10106.0,7002.0,13852.0,16478.0,10065.0,561.3,2179.0,13574.0,5776.0,11875.0,1749.0,486.0,11245.0,2950.9,7734.0,1354.0,-2983.0,4902.3,4296.0,3047.2,4485.0,-1415.0,2993.0,3403.0,5343.0
2014,50142.0,27017.0,1949.0,12065.0,5495.0,-1027.22,16825.0,6652.0,19627.0,10869.0,36593.0,3073.0,10687.0,6526.0,6469.0,605.0,6327.0,1728.0,30795.0,13440.0,1139.15,9482.0,-53.24,8432.0,2136.0,6672.0,7762.0,10139.0,15885.0,10313.0,576.36,2598.0,14341.0,2937.0,11289.0,2241.3,766.0,12164.0,3169.74,7739.0,1991.0,-3932.0,3311.1,4233.7,3293.0,4563.0,-1210.0,3811.0,4004.0,3451.0
