,AAPL,MSFT,AMZN,GOOG,FB,TSLA,BRK.A,V,JNJ,WMT,JPM,MA,PG,UNH,DIS,NVDA,HD,PYPL,BAC,VZ,ADBE,CMCSA,NFLX,KO,NKE,MRK,PEP,T,PFE,INTC,CRM,ABT,ORCL,ABBV,CSCO,TMO,AVGO,XOM,ACN,QCOM,COST,CVX,LLY,MCD,DHR,MDT,NEE,TXN,HON,UPS
2021-01-08,40.51,35.48,93.2,34.92,30.47,1767.11,15.6,44.15,25.16,21.19,17.78,53.05,26.54,20.87,0.0,86.92,23.28,91.49,16.1,13.11,78.24,23.11,82.32,26.6,83.63,18.37,28.55,19.09,23.95,10.13,57.97,59.05,19.21,22.68,18.32,41.99,70.85,58.28,45.54,34.58,37.98,0.0,27.19,32.96,49.29,45.69,40.87,32.36,30.13,30.11
2020-09-30,35.46,33.89,92.2,28.4,29.83,861.47,14.18,40.91,23.25,,12.38,50.58,26.43,17.84,0.0,,,74.35,11.85,13.21,,20.54,80.65,25.51,,18.2,27.25,18.1,22.22,10.08,,57.39,,18.27,,36.17,,43.0,,25.87,,0.0,24.06,33.31,43.55,,34.8,26.81,23.51,31.48
2020-06-30,27.64,35.21,106.07,31.09,27.73,562.4,19.53,36.68,20.28,,12.37,40.75,23.82,16.46,0.0,,,79.92,11.32,11.58,,15.5,76.74,20.74,,18.57,26.66,17.58,12.06,10.87,,52.47,,20.36,,39.18,,25.5,,38.12,,0.0,26.38,28.89,37.8,,32.81,23.49,17.6,21.83
2020-03-31,19.82,26.08,93.15,23.47,22.85,0.0,45.46,28.89,16.99,,9.81,30.73,61.01,17.24,32.64,,,60.59,8.53,11.62,,13.43,76.01,18.6,,19.03,22.81,13.79,10.72,10.29,,39.21,,12.96,,31.05,,13.36,,19.67,,33.85,22.59,21.28,31.37,,32.83,18.76,15.11,18.48
2019-12-31,23.0,27.19,80.31,27.19,31.87,0.0,6.81,34.08,20.94,,12.46,37.36,72.13,20.19,23.1,,,52.26,12.52,12.52,,15.47,78.35,25.86,,23.14,25.58,18.92,12.43,12.37,,41.52,,15.9,,35.34,,19.23,,24.45,,75.55,14.71,24.46,37.74,,30.53,23.82,20.57,22.16
2019-09-30,18.68,25.82,76.88,26.16,28.45,0.0,18.93,32.08,19.54,,11.04,39.98,80.41,15.5,18.61,,,48.63,10.46,14.56,,16.18,85.5,29.04,,22.64,15.1,15.39,11.33,11.74,,44.6,,32.62,,32.63,,18.78,,20.57,,15.95,13.26,27.31,42.64,,34.09,23.15,19.22,20.0
2019-06-30,16.62,26.06,78.57,21.82,32.71,0.0,18.06,33.05,22.33,,10.78,40.4,77.68,17.88,17.4,,,54.5,9.97,13.84,,15.56,144.05,29.59,,22.46,13.93,12.58,17.67,10.76,,50.41,,24.62,,33.37,,16.68,,25.92,,14.96,13.55,26.31,41.65,,28.52,20.1,17.98,17.97
2019-03-31,15.67,25.75,74.35,29.43,24.77,0.0,18.45,31.97,24.85,,10.24,38.9,23.7,18.65,12.31,,,56.13,9.82,14.0,,14.58,127.34,28.22,,24.93,13.15,10.29,19.29,11.64,,52.56,,20.98,,34.77,,16.63,,28.72,,15.65,20.03,24.14,38.65,,30.82,18.44,17.05,20.11
2018-12-31,12.67,23.06,74.61,23.7,17.32,0.0,126.36,28.12,21.94,,10.1,33.34,21.23,19.78,14.82,,,49.18,8.99,13.56,,12.96,99.87,29.59,,31.08,11.84,8.6,20.61,9.97,,52.67,,23.11,,30.71,,12.35,,33.9,,12.79,35.64,22.43,27.4,,11.92,16.05,14.14,16.55
2018-09-30,18.51,46.23,112.28,44.9,24.81,0.0,8.49,33.6,261.89,,12.9,44.55,20.5,20.15,13.71,,,51.07,13.22,6.11,,6.57,134.1,66.09,,50.74,30.16,5.41,9.72,13.94,,147.43,,17.35,,38.34,,13.67,,0.0,,14.83,228.72,24.03,27.64,,9.1,21.67,44.09,17.29
