,AAPL,MSFT,AMZN,GOOG,FB,TSLA,BRK.A,V,JNJ,WMT,JPM,MA,PG,UNH,DIS,NVDA,HD,PYPL,BAC,VZ,ADBE,CMCSA,NFLX,KO,NKE,MRK,PEP,T,PFE,INTC,CRM,ABT,ORCL,ABBV,CSCO,TMO,AVGO,XOM,ACN,QCOM,COST,CVX,LLY,MCD,DHR,MDT,NEE,TXN,HON,UPS
2005,13931,39788,8490,6139,,,81663,2665,50514,284310,79768,2938,56741,46425,31374,2010,73094,,85064,69518,1966,21075,682,23104,13740,22012,32562,43764,47405,38826,176,22338,11799,,24801,2633,,370680,17094,5673,52952,198200,14645,19117,7871,10055,11846,12335,27652,42581
2006,19315,44282,10711,10605,,,98539,2948,53324,312101,99864,3326,68222,71542,33747,2376,77019,,116767,88182,2575,24966,997,24088,14955,22636,35137,63055,48371,35382,310,22476,14380,,28484,3792,,377635,18228,7526,60151,210118,15691,20895,9466,11292,15710,14255,31367,47547
2007,24578,51122,14835,16594,153,,118245,3590,61095,348368,116353,4068,74832,75431,35510,3069,79022,,119696,93469,3158,31060,1205,28857,16326,24198,39474,118928,48418,38334,497,25914,17996,,34922,9746,1527,404552,21453,8871,64401,220904,18634,22787,11026,12299,15263,13835,34589,49692
2008,37491,60420,19166,21796,272,15,107786,6263,63747,377023,101491,4992,79257,81186,37843,4098,77349,,113106,97354,3580,34423,1365,31944,18627,23850,43251,123443,48296,37586,749,29528,22430,,39540,10498,1699,477359,25314,11142,72483,273005,20372,23522,12697,13515,16410,12501,36556,51486
2009,42905,58437,24509,23651,777,112,112493,6911,61897,404254,115632,5099,76694,87138,36149,3425,71288,,150450,107808,2946,35756,1670,30990,19176,27428,43232,122513,49269,35127,1077,30765,23252,14214,36117,9912,1484,310586,23171,10387,71422,171636,21836,22745,10517,14599,15643,10427,29951,45297
2010,65225,62484,34204,29321,1974,117,136185,8065,61587,408085,115475,5539,77567,94155,38063,3326,66176,,134194,106565,3800,37937,2163,35119,19014,45987,57838,124280,65165,43623,1306,35167,26820,15638,40040,10393,2093,383221,23094,10982,77946,204928,23076,24075,12550,15392,15317,13966,32350,49545
2011,108249,69943,48077,37905,3711,204,143688,9188,65030,421849,110838,6714,81104,101862,40893,3543,67997,,115074,110875,4216,55842,3205,46542,20117,48047,66504,126723,61035,53999,1657,21407,35622,17444,43218,11559,2336,486429,27353,14957,88915,253706,24287,27006,16091,15508,15341,13735,36529,53105
2012,156508,73723,61093,46039,5089,413,162463,10421,67224,446509,108074,7391,82006,110618,42278,3998,70395,5662,100078,115846,4404,62570,3609,48017,23331,47267,65492,127434,54657,53341,2267,19050,37121,18380,46061,12510,2364,480681,29778,19121,99137,241909,22603,27567,18260,16184,14256,12825,37665,54127
2013,170910,77849,74452,55519,7872,2013,182150,11778,71312,468651,106717,8312,80116,122489,45041,4280,74754,6727,101697,120550,4055,64657,4375,46854,25313,44033,66415,128752,51584,52708,3050,19657,37180,18790,48607,13090,2520,438255,30394,24866,105156,228848,23113,28106,18283,16590,15136,12205,39055,55438
2014,182795,86833,88988,66001,12466,3198,194699,12702,74331,476294,103009,9441,74401,130474,48813,4130,78812,8025,96829,127079,4147,68775,5505,45998,27799,42237,66683,132447,49605,55870,4071,20247,38275,19960,47142,16890,4269,411939,31875,26487,112640,211970,19616,27441,12867,17005,17021,13045,40306,58232
2015,233715,93580,107006,74989,17928,4046,210943,13880,70074,485651,101006,9667,70749,157107,52465,4682,83176,9248,93514,131620,4796,74510,6780,44294,30601,39498,63056,146801,48851,55355,5374,20405,38226,22859,49161,16965,6824,249248,32914,25281,116199,138477,19959,25413,14434,20261,17486,13000,38581,58363
2016,215639,91154,135987,90272,27638,7000,215114,15082,71890,482130,106387,10776,65299,184840,55632,5010,88519,10842,93662,125980,5854,80736,8831,41863,32376,39807,62799,163786,52824,59387,6667,20853,37047,25638,49247,18274,13240,208114,34798,23554,118719,114472,21222,24622,16882,28833,16138,13370,39302,61610
2017,229234,96571,177866,110855,40653,11759,239933,18358,76450,485873,114579,12497,65058,201159,55137,6910,94595,13094,99466,126034,7302,85029,11693,36212,34350,40122,63525,160546,52546,62761,8437,27390,37792,28216,48005,20918,17636,244363,36177,22258,129025,141722,19974,22820,15519,29710,17173,14961,40534,66585
2018,265595,110360,232887,136819,55838,21461,247837,20609,81581,500343,130070,14950,66832,226247,59434,9714,100904,15451,109627,130863,9030,94507,15794,34300,36397,42294,64661,170756,53647,70848,10540,30578,39383,32753,49330,24358,20848,290212,40993,22611,141576,166339,21493,21025,17049,29953,16727,15784,41802,71861
2019,260174,125843,280522,161857,70697,24578,254616,22977,82059,514405,142422,16883,67684,242155,69607,11716,108203,17772,113589,131868,11171,108942,20156,37266,39117,46840,67161,181193,51750,71965,13282,31904,39506,33266,51904,25542,22597,264938,43215,24273,152703,146516,22320,21077,17911,30557,19204,14383,36709,74094
2020,274515,143015,,,,,,21846,,523964,,,70950,,65388,10918,110225,,,,12868,,,,37403,,,,,,17098,,39068,,49301,,23888,,44327,23531,166761,,,,,28913,,,,
