,"('DE', 'D/E ratio')","('Current', 'Current')","('ROI', 'Mean')","('Revenue', '10Y CAGR')","('Revenue', '5Y CAGR')","('Revenue', '1Y CAGR')","('EPS', '10Y CAGR')","('EPS', '5Y CAGR')","('EPS', '1Y CAGR')","('BVPS', '10Y CAGR')","('BVPS', '5Y CAGR')","('BVPS', '1Y CAGR')","('FCF', '10Y CAGR')","('FCF', '5Y CAGR')","('FCF', '1Y CAGR')",Price
MSFT,True,True,True,0.07972738150575509,0.07703260637666598,0.14029539688292858,0.12063336889040488,0.1398270352404456,1.375586854460094,0.11523743849816336,0.10952334727019664,0.17422606191504664,0.09165559890802057,0.07206611297939712,0.18628302120798712,77.45924700591388
AMZN,True,True,True,0.27603954474591186,0.2581345711013716,0.20454125820676985,0.27417372488932834,,0.14250248262164855,0.27743245362081925,0.4414171626731516,0.44437631394533983,0.24355714711566834,0.676662681993456,0.3311855670103092,3651.7827034331294
GOOG,True,True,True,0.2120713835142911,0.19650961848715465,0.18300089899794614,0.17019601065472512,0.1903523029488192,0.12494279176201364,,0.13198372825320148,0.11332789964208526,0.13795316277883465,0.207503462806939,0.35651716888577445,805.8073623776065
FB,True,True,True,0.5699940142607858,0.4149294060879472,0.2661091013288441,0.5164255643907742,0.4235202764116248,-0.1505944517833554,,0.2292196014065042,0.2540983606557379,0.6750284150672226,0.31015531896964665,0.3810794973631095,573.8641411625147
JNJ,True,True,True,0.02859796788938352,0.01997904372141046,0.005859207413490886,0.02495682537999322,-0.002468295275019683,0.0035650623885916666,0.01622125109256345,-0.01082745698286236,0.1066425666516042,0.04906287828261746,0.03386335594482004,0.06666973405723753,
MA,True,True,True,0.12718827046277048,0.12327559846367266,0.12929765886287625,0.2163547290790615,0.20695689956984964,0.4178571428571429,0.04695115213338452,0.00946209242103957,0.19066937119675464,0.19666530673158372,0.1939249213042253,0.3035495716034271,4.080932662462454
NVDA,True,True,True,0.130867905321159,0.23187278936985026,0.20609429689108505,,0.5504449889846812,0.3755186721991701,0.16707871082771408,0.2378184879530163,0.3288155568650561,,0.3903297034650464,0.0796976983854345,246.09487676937576
PYPL,True,True,True,,0.17235260476167014,0.15021681444566706,,0.43515327266866,0.21052631578947367,,0.07879996038341308,0.12606837606837604,,0.17523082947657498,-0.16920437486596607,17.216987139224138
VZ,True,True,True,0.020349234543825426,0.007425932883862619,0.007679787258430659,0.1045679829619084,0.1395346027903701,0.23670212765957466,-0.06026927876054455,0.35121222447033595,0.10288065843621386,0.02063015744861052,0.05788460730120847,0.007126293761664959,
ADBE,True,True,True,0.1425781929405292,0.2191905935603864,0.2370985603543743,0.2344765343577637,0.6247070917972446,0.15384615384615374,0.09428795067811536,0.12203690868460225,0.15530303030303028,0.14968791206504606,0.28732220526441776,0.07032128268570959,68.86129899324537
NFLX,True,True,True,0.2828290552386252,0.2963712926333473,0.2761808281625935,0.3088178278257561,0.4612067590069342,0.5410447761194028,0.4631966151917777,0.3577019835665285,0.4936143039591317,,1.2602073247620609,0.10017061199609034,1554.4169279669861
CSCO,True,True,True,0.03692874990801154,0.019432711124207858,0.052179201297384965,0.09533034830164833,0.118641295973144,129.5,0.013458868259952128,-0.05282334020776192,0.1329113924050631,0.053287039937469416,0.05769944670621663,0.15925839733147162,
ACN,True,True,True,0.06431203727822797,0.06276407354777369,0.05420437635693909,0.11673158281525753,0.10242201129162763,0.1608832807570979,0.19226917451805334,0.21930463997005667,0.18326180257510732,0.07512173289624235,0.13717958917013928,0.11473693943596852,191.32237175789814
QCOM,True,True,True,0.08858747323275296,-0.017306379082981715,0.0735040467029322,0.1421866619690153,-0.05042712753189872,-2.058997050147493,-0.08419291103589144,-0.2358488715544298,0.2517482517482517,0.002864067149462634,-0.03142706908256744,-0.4641812865497076,
COST,True,True,True,0.07895058838062186,0.06274968642577039,0.07859382946262072,0.12830966791047538,0.12177412653625065,0.1650211565585331,0.05334116540745226,0.11353162362005298,0.1957686882933709,0.1474064850622918,0.11020169576599814,0.19714795008912667,36.62559682200241
DHR,True,True,True,0.05468506457297551,0.06838678264294251,0.05056015015543425,0.08878189874785591,0.022138341954546892,0.08288770053475925,0.10254658602271284,0.09577079191957627,0.15664214625703154,0.07399038143788772,0.0021709362163990775,-0.03364491407338599,47.8560549130373
