,Mean
AAPL,15.458863636363638
MSFT,22.238636363636367
AMZN,273.21431818181816
GOOG,31.381200000000003
FB,91.06812499999998
TSLA,79.77449999999999
BRK.A,18.95681818181818
V,29.566136363636364
JNJ,41.98045454545455
WMT,17.720000000000002
JPM,10.139318181818181
MA,29.212045454545446
PG,22.73818181818182
UNH,15.031136363636366
DIS,15.745227272727275
NVDA,32.03066666666666
HD,18.761777777777773
PYPL,52.52578947368421
BAC,12.966818181818184
VZ,22.76454545454546
ADBE,58.112
CMCSA,14.932954545454544
NFLX,153.19477272727275
KO,27.913636363636353
NKE,30.824888888888896
MRK,27.301363636363643
PEP,19.04136363636363
T,13.97045454545455
PFE,14.273863636363636
INTC,11.52977272727273
CRM,361.0395555555555
ABT,39.227045454545454
ORCL,19.62644444444444
ABBV,21.284827586206895
CSCO,27.34088888888888
TMO,27.484090909090913
AVGO,32.92813953488372
XOM,15.670454545454545
ACN,19.546
QCOM,16.594545454545457
COST,25.03577777777778
CVX,15.363181818181818
LLY,24.296136363636364
MCD,18.926590909090905
DHR,21.226136363636357
MDT,22.775555555555563
NEE,16.91977272727273
TXN,17.993409090909093
HON,20.345454545454547
UPS,23.831818181818186
