,0
AAPL,
ABBV,
ABT,
ACN,191.32237175789817
ADBE,68.86129899324536
AMZN,3651.7827034331294
AVGO,53.96996113805516
BAC,5.615551658109723
BRK.A,123.95377224148672
CMCSA,25.43742596314031
COST,36.62559682200241
CRM,409.70525621627445
CSCO,
CVX,
DHR,47.8560549130373
DIS,
FB,573.8641411625148
GOOG,805.8073623776065
HD,
HON,9.378287000879675
INTC,25.342825295911158
JNJ,
JPM,46.02047696295154
KO,
LLY,
MA,4.080932662462454
MCD,
MDT,
MRK,
MSFT,77.45924700591387
NEE,6.657842142694092
NFLX,1554.4169279669861
NKE,
NVDA,246.09487676937576
ORCL,
PEP,
PFE,
PG,
PYPL,17.216987139224134
QCOM,
T,3.596209130891577
TMO,71.05046586348926
TSLA,
TXN,
UNH,163.97819842218578
UPS,
V,27.153510017912026
VZ,
WMT,3.268482394221879
XOM,
