,AAPL,MSFT,AMZN,GOOG,FB,TSLA,BRK.A,V,JNJ,WMT,JPM,MA,PG,UNH,DIS,NVDA,HD,PYPL,BAC,VZ,ADBE,CMCSA,NFLX,KO,NKE,MRK,PEP,T,PFE,INTC,CRM,ABT,ORCL,ABBV,CSCO,TMO,AVGO,XOM,ACN,QCOM,COST,CVX,LLY,MCD,DHR,MDT,NEE,TXN,HON,UPS
2021-01-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-30,3.85,16.31,164.89,314.17,41.31,17.82,303.74,18.67,24.49,,88.94,5.87,19.59,71.76,49.56,,,15.81,31.04,16.08,,19.14,23.39,4.73,,11.57,9.83,27.38,11.79,18.19,,17.83,,8.66,,80.30,,43.66,,5.37,,70.71,5.22,-11.37,53.46,,21.46,9.07,26.10,6.49
2020-06-30,4.22,15.63,147.16,304.34,38.75,11.53,284.80,18.28,23.92,,86.78,6.47,18.90,70.02,50.79,,,15.08,30.66,15.49,,18.56,21.17,4.47,,10.97,9.09,27.15,11.62,19.28,,17.39,,8.35,,75.52,,44.27,,2.93,,71.97,4.47,-12.72,51.15,,21.21,8.35,26.17,5.07
2020-03-31,4.53,15.09,130.81,297.76,36.94,10.85,270.69,17.75,23.28,,85.74,5.40,18.56,63.21,53.27,,,13.65,30.54,14.90,,18.14,19.12,4.62,,10.42,9.76,27.43,11.77,18.03,,17.20,,-5.02,,72.31,,44.64,,2.70,,77.62,3.34,-12.50,44.57,,20.90,8.39,25.45,3.85
2019-12-31,5.10,14.47,124.62,292.65,35.43,8.25,309.39,17.95,22.59,,84.74,5.88,18.59,63.75,53.21,,,14.43,29.97,15.19,,18.42,17.28,4.93,,10.24,10.69,27.84,11.46,18.07,,17.76,,-5.53,,74.42,,46.99,,3.95,,77.15,2.82,-11.00,43.54,,21.15,9.56,26.31,3.83
2019-09-30,5.09,13.89,114.16,282.19,32.94,7.65,289.97,17.57,22.13,,84.28,4.93,18.84,60.99,52.72,,,14.04,29.56,14.58,,17.40,15.66,4.83,,10.56,10.19,26.61,11.82,17.07,,18.11,,-5.56,,73.21,,46.59,,4.29,,82.97,3.61,-11.42,46.22,,20.54,9.61,25.62,6.50
2019-06-30,5.32,13.39,107.41,276.91,31.10,7.34,282.24,17.62,23.01,,82.32,4.96,19.00,58.92,54.10,,,13.71,29.05,14.01,,17.12,13.94,4.75,,10.81,10.03,26.57,10.77,16.92,,18.05,,-5.79,,71.74,,46.91,,4.49,,82.94,2.96,-8.97,44.91,,20.06,9.08,25.10,5.15
2019-03-31,5.74,12.37,98.39,264.07,30.29,6.30,272.31,17.15,22.20,,80.10,5.07,22.15,57.14,58.58,,,12.93,27.91,13.89,,16.72,13.04,4.64,,10.71,10.18,26.72,10.65,16.45,,17.65,,-5.29,,69.24,,46.80,,3.18,,81.96,2.64,-8.58,44.10,,19.75,9.07,26.05,4.05
2018-12-31,6.23,11.99,88.69,255.38,29.48,6.66,257.65,16.95,22.44,,78.31,5.26,21.76,56.58,36.26,,,13.11,27.44,13.24,,16.02,12.00,4.47,,10.37,10.36,26.63,11.15,16.51,,17.50,,-5.69,,68.60,,46.86,,2.99,,81.79,10.32,-8.16,40.24,,19.57,9.52,25.16,3.54
2018-09-30,5.63,11.19,80.01,244.04,27.96,6.18,278.34,16.79,24.09,,77.87,5.60,21.07,54.67,35.22,,,12.83,26.59,13.57,,15.90,11.49,4.74,,12.28,7.36,25.44,12.40,15.66,,17.59,,-1.94,,66.79,,46.49,,0.66,,80.95,13.27,-8.81,39.51,,19.53,10.90,24.88,3.64
2018-06-30,5.93,10.77,71.86,232.78,27.46,5.55,268.25,16.37,23.45,,76.60,5.08,21.17,52.79,33.38,,,12.69,26.39,12.97,,15.66,10.33,4.74,,12.27,7.22,25.36,11.96,15.19,,17.54,,-2.23,,65.65,,45.71,,15.70,,80.05,10.82,-7.54,38.91,,19.16,10.91,23.93,2.74
