,AAPL,MSFT,AMZN,GOOG,FB,TSLA,BRK.A,V,JNJ,WMT,JPM,MA,PG,UNH,DIS,NVDA,HD,PYPL,BAC,VZ,ADBE,CMCSA,NFLX,KO,NKE,MRK,PEP,T,PFE,INTC,CRM,ABT,ORCL,ABBV,CSCO,TMO,AVGO,XOM,ACN,QCOM,COST,CVX,LLY,MCD,DHR,MDT,NEE,TXN,HON,UPS
2020-09-30,3.96,1.44,2.41,0.41,0.24,1.71,0.98,1.24,1.65,,10.97,4.4,1.47,1.8,1.28,,,2.54,9.19,3.46,,2.07,2.74,3.78,,2.07,5.77,1.76,1.73,0.95,,1.19,,8.79,,1.01,,0.94,,4.86,,0.69,7.8,-6.98,0.92,,2.01,1.19,2.47,10.13
2020-06-30,3.39,1.55,2.5,0.34,0.27,2.56,0.98,1.19,1.52,,11.15,3.94,1.58,1.89,1.3,,,2.57,9.32,3.57,,2.14,2.98,3.94,,2.27,6.11,1.83,1.76,0.86,,1.23,,9.15,,1.06,,0.93,,8.78,,0.66,8.82,-6.28,0.97,,1.93,1.28,2.46,13.18
2020-03-31,3.09,1.49,2.39,0.34,0.31,2.71,1.03,1.11,1.53,,11.02,4.65,1.58,2.16,1.17,,,2.39,8.89,3.78,,2.17,3.17,3.74,,2.23,5.27,1.79,1.55,0.94,,1.2,,-13.3,,1.06,,0.89,,9.49,,0.63,11.86,-6.44,1.22,,1.95,1.24,2.21,17.38
2019-12-31,2.8,1.57,2.63,0.37,0.32,3.6,0.91,1.12,1.65,,9.28,3.94,1.43,1.88,1.12,,,2.03,8.19,3.64,,2.14,3.48,3.09,,2.25,4.28,1.73,1.64,0.76,,1.17,,-11.91,,0.97,,0.82,,6.34,,0.64,13.56,-6.79,1.05,,1.85,1.02,2.14,16.62
2019-09-30,2.74,1.63,2.52,0.35,0.32,3.77,0.96,1.09,1.67,,9.46,4.22,1.43,2.01,1.07,,,2.05,8.04,3.72,,2.24,3.51,3.23,,2.1,4.45,1.82,1.61,0.8,,1.14,,-8.23,,0.93,,0.82,,5.71,,0.64,9.94,-6.33,0.85,,1.84,1.0,2.28,8.56
2019-06-30,2.34,1.8,2.61,0.34,0.32,3.85,0.97,1.01,1.55,,9.36,3.91,1.42,1.99,1.17,,,2.0,7.83,3.89,,2.3,3.94,3.43,,2.03,4.35,1.82,1.61,0.75,,1.15,,-7.67,,1.02,,0.82,,5.25,,0.63,12.53,-7.79,0.66,,1.88,1.05,2.2,10.94
2019-03-31,2.23,1.78,2.68,0.34,0.27,4.29,0.98,1.04,1.55,,9.53,3.53,1.19,1.96,1.05,,,2.05,7.9,3.94,,2.38,3.77,3.46,,1.98,4.28,1.81,1.63,0.76,,1.17,,-8.25,,1.01,,0.8,,7.8,,0.65,13.82,-8.09,0.64,,1.88,1.05,2.09,13.94
2018-12-31,2.17,1.81,2.74,0.31,0.16,4.17,1.01,1.1,1.56,,9.22,3.59,1.27,1.8,0.84,,,1.82,7.87,3.84,,2.47,3.96,3.37,,2.07,4.32,1.74,1.5,0.72,,1.19,,-8.03,,1.04,,0.74,,8.47,,0.63,3.03,-6.24,0.7,,1.77,0.91,2.15,15.47
2018-09-30,2.41,2.0,2.67,0.3,0.15,4.52,0.94,1.04,1.41,,9.1,3.03,1.26,1.87,0.87,,,1.89,7.92,3.74,,1.77,3.66,3.31,,1.61,6.09,1.89,1.34,0.79,,1.32,,-23.65,,1.05,,0.8,,39.54,,0.66,2.15,-6.01,0.72,,1.64,0.77,2.36,13.94
2018-06-30,2.04,2.13,2.83,0.31,0.14,4.9,0.97,1.05,1.47,,9.06,3.26,1.24,2.05,0.97,,,1.78,7.67,3.92,,1.67,4.04,3.44,,1.6,6.7,1.9,1.35,0.8,,1.22,,-19.26,,1.1,,0.8,,1.69,,0.68,2.65,-6.59,0.77,,1.64,0.74,2.37,18.2
