,AAPL,MSFT,AMZN,GOOG,FB,TSLA,BRK.A,V,JNJ,WMT,JPM,MA,PG,UNH,DIS,NVDA,HD,PYPL,BAC,VZ,ADBE,CMCSA,NFLX,KO,NKE,MRK,PEP,T,PFE,INTC,CRM,ABT,ORCL,ABBV,CSCO,TMO,AVGO,XOM,ACN,QCOM,COST,CVX,LLY,MCD,DHR,MDT,NEE,TXN,HON,UPS
2005,0.06,1.12,0.84,2.51,,,3.57,0.00,3.35,2.41,2.38,0.20,2.53,2.31,1.22,0.17,2.26,,4.04,2.65,1.19,0.14,0.09,1.02,0.56,2.10,2.39,1.42,1.09,1.40,0.02,2.16,0.55,,0.87,1.36,,5.71,1.56,1.26,2.18,6.54,1.81,2.04,1.38,1.48,0.59,1.39,1.92,3.47
2006,0.08,1.20,0.45,4.97,,,4.61,0.00,3.73,2.68,4.04,0.04,2.64,2.97,1.64,0.55,2.72,,4.59,2.12,0.83,0.40,0.10,1.08,0.66,2.03,3.34,1.89,2.66,0.86,0.06,1.12,0.64,,0.89,0.84,,6.62,1.59,1.44,2.30,7.80,2.45,2.83,1.74,2.09,0.81,2.78,2.52,3.86
2007,0.14,1.42,1.12,6.65,-0.16,,5.70,0.00,3.63,2.71,4.33,0.80,3.04,3.42,2.25,0.76,2.79,,3.29,1.90,1.21,0.42,0.14,1.29,0.73,1.49,3.41,1.94,1.17,1.18,0.00,2.31,0.81,,1.17,1.69,-0.74,7.26,1.97,1.95,2.37,8.77,2.71,1.98,2.10,2.41,0.82,1.83,3.16,0.36
2008,0.24,1.87,1.49,6.66,-0.06,-2.49,2.15,0.15,4.57,3.13,1.35,-0.19,3.64,2.40,2.28,1.31,2.37,,0.54,-0.77,1.59,0.43,0.19,1.25,0.94,3.63,3.21,-0.44,1.20,0.92,0.04,3.12,1.06,,1.31,2.25,0.38,8.66,2.64,1.90,2.89,11.67,-1.89,3.76,1.98,1.87,1.02,1.44,1.08,2.94
2009,0.32,1.62,2.04,10.21,0.10,-1.59,3.46,0.51,4.40,3.39,2.26,1.12,4.26,3.24,1.76,-0.05,1.34,,-0.29,1.72,0.73,0.63,0.28,1.47,0.76,5.65,3.77,2.05,1.23,0.77,0.09,3.69,1.09,0.00,1.05,2.01,-0.20,3.98,2.44,0.95,2.47,5.24,3.94,4.11,1.73,1.84,0.99,1.15,2.05,1.96
2010,0.54,2.10,2.53,13.16,0.28,-0.61,5.28,0.68,4.78,3.71,3.96,1.41,4.11,4.10,2.03,-0.12,1.57,,-0.37,0.90,1.47,0.65,0.42,2.53,0.97,0.28,3.91,3.35,1.02,2.01,0.16,2.96,1.21,2.65,1.33,2.53,1.69,6.22,2.66,1.96,2.92,9.48,4.58,4.58,2.64,2.79,1.19,2.62,2.59,3.33
2011,0.99,2.69,1.37,14.88,0.46,-0.51,4.14,0.89,3.49,4.47,4.48,1.48,3.93,4.73,2.52,0.43,2.01,,0.01,0.85,1.65,0.75,0.59,1.85,1.10,2.02,4.03,0.66,1.27,2.39,0.12,3.01,1.67,2.18,1.17,3.46,2.19,8.42,3.39,2.52,3.30,13.44,3.90,5.27,3.11,2.86,1.15,1.88,2.61,3.84
2012,1.58,2.00,-0.09,16.16,0.01,-0.74,5.98,0.56,3.86,4.52,5.20,2.19,3.66,5.28,3.13,0.94,2.47,0.00,0.25,0.31,1.66,1.14,0.04,1.97,1.18,2.00,3.92,1.25,1.94,2.13,-0.02,3.72,1.96,3.35,1.49,3.21,2.25,9.70,3.84,3.51,3.89,13.32,3.66,5.36,3.36,3.41,1.14,1.51,3.69,0.83
2013,1.42,2.58,0.59,18.79,0.60,-0.12,7.89,1.72,4.81,5.02,4.34,2.56,3.86,5.50,3.38,0.90,3.00,0.78,0.90,4.00,0.56,1.28,0.26,1.90,1.35,1.47,4.32,3.42,3.19,1.89,-0.48,1.62,2.26,2.56,1.86,3.48,2.19,7.37,4.93,3.91,4.63,11.09,4.32,5.55,3.80,3.37,1.12,1.91,4.92,4.61
2014,1.61,2.63,-0.52,20.57,1.10,-0.47,8.06,1.95,5.70,4.88,5.29,3.10,4.01,5.70,4.26,0.74,3.76,0.34,0.42,2.42,0.53,1.60,0.62,1.60,1.49,4.07,4.27,1.24,1.42,2.31,-0.39,1.49,2.38,1.10,1.49,4.71,0.99,7.60,4.52,4.65,4.65,10.14,2.23,4.82,3.63,3.02,1.40,2.57,5.33,3.28
2015,2.31,1.48,1.25,22.84,1.29,-1.39,9.76,2.32,5.48,5.05,6.00,3.35,2.44,6.01,4.90,1.12,4.71,1.00,1.31,4.37,1.24,1.62,0.28,1.67,1.85,1.56,3.67,2.37,1.11,2.33,-0.42,2.92,2.21,3.13,1.75,4.92,4.85,3.85,4.76,3.22,5.37,2.45,2.26,4.80,4.74,2.41,1.52,2.82,6.04,5.35
2016,2.08,2.56,4.90,27.85,3.49,-0.94,9.76,2.24,5.93,4.57,6.19,3.69,3.69,7.25,5.73,1.08,5.46,1.15,1.49,3.21,2.32,1.78,0.43,1.49,2.16,1.41,4.36,2.10,1.17,2.12,-0.07,0.94,2.07,3.63,2.11,5.09,-4.86,1.88,6.45,3.81,5.33,-0.27,2.58,5.44,3.65,2.48,1.56,3.48,6.21,3.86
2017,2.30,3.25,6.15,18.00,5.39,-2.37,18.21,2.52,0.47,4.38,6.31,3.65,5.59,10.72,5.69,2.57,6.45,1.47,1.56,7.36,3.38,4.75,1.25,0.29,2.51,0.87,3.38,4.76,3.52,1.99,0.46,0.27,2.24,3.30,1.90,5.59,4.02,4.63,5.44,1.64,6.08,4.85,-0.19,6.37,3.53,2.89,2.85,3.61,2.00,5.61
2018,2.98,2.13,20.14,43.70,7.57,-1.14,1.63,3.98,5.61,3.28,9.00,5.60,3.67,12.19,8.36,4.82,7.29,1.71,2.61,3.76,5.20,2.53,2.68,1.50,1.17,2.32,8.78,2.85,1.86,4.48,0.49,1.33,0.85,3.66,0.02,7.24,28.44,4.88,6.34,-3.39,7.09,7.74,3.13,7.54,3.74,2.27,3.47,5.59,8.98,5.51
2019,2.97,5.06,23.01,49.16,6.43,-0.98,33.20,4.78,5.63,2.26,10.72,7.94,1.43,14.33,6.64,6.63,9.73,2.07,2.75,4.65,6.00,2.83,4.13,2.07,2.49,3.81,5.20,1.89,2.87,4.71,1.43,2.06,2.97,5.28,2.61,9.17,6.43,3.36,7.36,3.59,8.26,1.54,8.89,7.88,4.05,3.41,1.94,5.24,8.41,5.11
2020,3.28,5.76,,,,,,4.40,,5.19,,,4.96,,-1.58,4.52,10.25,,,,10.83,,,,1.60,,,,,,0.15,,3.08,,2.64,,6.33,,7.89,4.52,9.02,,,,,3.54,,,,
