,AAPL,MSFT,AMZN,GOOG,FB,TSLA,BRK.A,V,JNJ,WMT,JPM,MA,PG,UNH,DIS,NVDA,HD,PYPL,BAC,VZ,ADBE,CMCSA,NFLX,KO,NKE,MRK,PEP,T,PFE,INTC,CRM,ABT,ORCL,ABBV,CSCO,TMO,AVGO,XOM,ACN,QCOM,COST,CVX,LLY,MCD,DHR,MDT,NEE,TXN,HON,UPS
2020-09-30,38.97,31.67,20.07,16.34,,8.03,,27.06,21.31,,5.51,48.29,24.10,23.55,-1.40,,,12.51,4.05,16.66,,9.92,17.14,16.32,,25.58,20.38,6.46,11.17,22.14,,8.89,,15.17,,12.03,,1.82,,33.59,,-8.92,29.40,28.06,6.42,,6.13,38.14,17.43,28.52
2020-06-30,38.43,30.21,18.74,15.90,,6.21,,29.02,18.87,,5.44,56.04,23.12,24.62,0.64,,,12.11,4.52,17.32,,10.71,16.91,17.34,,25.11,20.87,6.97,11.19,24.07,,8.29,,18.81,,9.38,,4.09,,19.59,,-6.32,32.04,28.26,6.13,,7.02,38.19,19.76,28.07
2020-03-31,36.76,30.02,17.13,17.58,,3.88,,31.08,22.43,,6.54,66.77,10.45,20.92,6.29,,,15.44,5.57,17.82,,11.26,14.97,19.98,,26.05,22.87,8.08,12.91,24.08,,9.30,,34.23,,9.87,,7.00,,44.86,,3.26,35.14,33.10,6.57,,8.01,40.81,23.94,28.54
2019-12-31,35.64,29.17,18.61,17.36,103.08,-0.39,,30.15,20.02,,8.04,75.82,9.84,21.13,7.35,,,25.09,6.46,18.67,,11.57,13.64,20.26,,24.58,23.88,7.92,13.45,22.02,,9.13,,39.95,,10.07,,9.09,,42.91,,3.09,29.97,35.45,7.07,,7.25,41.53,24.16,30.84
2019-09-30,33.18,27.49,19.65,17.36,98.62,-0.08,,29.31,18.68,,7.78,71.13,8.64,20.95,8.90,,,46.96,6.60,15.51,,11.28,13.57,20.28,,25.02,23.41,8.12,14.34,21.62,,8.59,,25.89,,9.97,,9.93,,40.61,,10.31,25.57,34.67,6.83,,7.96,44.19,23.90,30.99
2019-06-30,32.65,26.52,21.53,17.66,92.58,0.89,,28.77,21.32,,7.76,69.59,7.46,21.16,11.31,,,,7.08,15.18,,11.68,11.70,21.17,,24.74,23.78,7.91,15.02,22.62,,8.16,,25.82,,9.95,,12.00,,34.30,,11.17,22.30,34.41,7.46,,7.38,46.29,23.02,30.63
2019-03-31,31.95,25.83,22.75,14.95,97.90,-2.10,,27.00,18.80,,7.69,68.13,17.69,20.99,14.97,,,,7.05,14.39,,12.29,11.20,20.85,,22.12,24.62,7.61,14.61,23.61,,7.53,,22.66,,8.77,,12.91,,8.07,,10.60,13.91,34.71,7.80,,6.68,45.58,22.36,29.82
2018-12-31,31.91,24.88,20.15,16.04,,-2.66,,26.42,19.62,,7.66,62.99,17.64,20.73,20.88,,,,6.99,14.11,,12.89,12.27,19.29,,17.22,24.11,7.75,13.88,24.19,,7.17,,20.96,,8.48,,14.29,,4.57,,11.20,15.58,34.97,8.03,,6.66,46.24,22.10,31.06
2018-09-30,32.03,24.26,18.55,16.34,,-9.66,,25.74,18.83,,7.54,65.95,17.61,20.74,21.75,,,,6.47,16.71,,13.82,13.97,17.80,,14.98,24.17,6.76,13.59,23.71,,5.92,,32.32,,8.10,,11.94,,1.76,,9.36,12.64,35.04,7.85,,5.29,46.09,22.22,31.91
2018-06-30,29.66,22.43,13.57,16.14,,-16.12,,25.51,18.90,,7.17,62.66,17.60,20.94,21.40,,,,6.18,16.77,,14.48,13.07,16.30,,9.98,23.82,6.68,13.82,21.27,,5.36,,29.31,,7.43,,10.36,,3.66,,7.73,9.26,37.69,7.77,,6.05,45.67,21.73,35.20
2018-03-31,28.54,20.41,10.65,17.17,,-13.73,,26.30,18.32,,6.86,60.11,17.83,21.10,21.43,,,,6.09,18.23,,14.72,11.18,14.48,,10.06,23.19,7.28,13.80,19.68,,4.35,,26.60,,7.27,,9.31,,3.14,,6.13,14.04,37.34,7.37,,6.45,45.57,20.88,39.90
2017-12-31,28.05,19.63,10.13,16.93,,-11.59,,25.99,18.21,,6.33,59.07,18.40,20.81,21.28,,,,5.90,18.81,,15.21,10.30,14.54,,11.27,23.47,7.59,14.12,19.18,,2.78,,24.16,,7.19,,8.76,,3.88,,5.05,8.69,37.35,7.23,,8.96,43.92,20.10,45.48
2017-09-30,27.94,19.89,9.47,16.60,,-9.80,,26.08,19.93,,6.38,57.73,18.77,20.77,21.60,,,,5.77,23.22,,15.87,10.48,14.13,,6.04,23.56,8.66,14.06,18.85,,3.28,,24.72,,7.03,,7.78,,5.63,,4.52,10.33,37.62,7.99,,10.34,42.61,17.70,50.28
2017-06-30,28.21,20.43,12.23,15.88,,-6.35,,24.90,20.66,,6.24,58.28,18.79,20.67,22.10,,,,5.73,23.71,,15.68,10.22,13.97,,10.41,23.71,9.24,13.43,18.68,,4.09,,23.45,,7.12,,6.72,,9.34,,3.64,12.13,34.03,8.13,,10.42,40.44,18.20,53.32
2017-03-31,28.81,23.45,15.39,17.82,,-7.81,,19.04,20.95,,6.21,58.51,18.24,20.53,22.74,,,,5.46,22.36,,15.42,10.64,15.31,,8.86,23.88,9.42,13.12,16.37,,6.01,,22.37,,7.04,,5.90,,11.89,,1.44,11.01,32.10,8.17,,10.54,38.47,19.51,54.62
